Location ,TP ,FL ,Size ,N,C,Sample ID
Chagos ,3.041629412,496,3,12.66,-15.83,LB-02
Chagos ,3.259276471,543,3,13.4,-13.85,LB-04
Chagos ,3.3181,646,5,13.6,-13.75,LB-10
Chagos ,3.106335294,642,5,12.88,-15.49,LB-16
Chagos ,3.203394118,432,1,13.21,-14.2,LB-19
Chagos ,3.094570588,413,1,12.84,-15.36,LB-22
Chagos ,3.1181,415,1,12.92,-14.91,LB-24
Chagos ,3.091629412,439,2,12.83,-15.53,LB-27
Chagos ,3.141629412,445,2,13,-14.51,LB-30
Chagos ,3.006335294,468,2,12.54,-13.87,LB-31
Chagos ,3.073982353,573,4,12.77,-15.69,LB-33
Chagos ,3.329864706,562,3,13.64,-14.16,LB-36
Chagos ,3.279864706,421,1,13.47,-15.15,LB-38
Chagos ,3.129864706,470,2,12.96,-14.89,LB-40
Chagos ,3.153394118,600,4,13.04,-14.73,LB-42
Chagos ,3.156335294,671,5,13.05,-15.84,LB-43
Chagos ,3.171041176,565,4,13.1,-16.11,LB-44
Chagos ,3.294570588,567,4,13.52,-13.15,LB-48
Chagos ,3.244570588,637,5,13.35,-13.36,LB-50
Chagos ,3.103394118,626,5,12.87,-12.52,LB-52
Chagos ,3.188688235,488,2,13.16,-13.5,LB-54
Chagos ,3.047511765,409,1,12.68,-14.94,LB-55
Chagos ,3.262217647,545,3,13.41,-13.05,LB-59
Chagos ,3.335747059,543,3,13.66,-13.51,LB-60
Chagos ,3.094570588,421,1,12.84,-14.96,LB-61
Chagos ,3.409276471,576,4,14,-12.42,LB-63
SR,3.256176471,535,2,13.389,-14.62631,N-002
SR,3.109117647,562,4,12.579,-11.84631,N-003
SR,3.238529412,415,1,13.329,-15.22631,S-009
SR,3.247352941,377,1,13.359,-16.42631,S-047
SR,3.344411765,602,4,13.689,-14.31631,S-169
SR,3.509117647,479,2,14.249,-15.71631,SR-09
SR,3.165,493,3,13.079,-14.76631,N_031
SR,3.279705882,535,3,13.469,-14.87631,N-001
SR,3.194411765,646,5,13.179,-15.05631,N-029
SR,3.262058824,600,4,13.409,-13.24631,N-030
SR,3.303235294,626,5,13.549,-14.83631,NS_151
SR,3.159117647,621,5,13.059,-13.83631,NS_20
SR,3.332647059,655,5,13.649,-14.27631,NS-126
SR,3.250294118,518,3,13.369,-13.06631,S-042
SR,3.185588235,379,1,13.149,-15.56631,S-043
SR,3.315,498,3,13.589,-15.96631,S-093
SR,3.223823529,559,4,13.279,-13.34631,S-140
SR,3.332647059,553,4,13.649,-14.03631,S-167
SR,3.265,468,2,13.419,-13.72631,S-168
SR,3.267941176,417,1,13.429,-15.64631,S-170
SR,3.250294118,661,5,13.369,-13.98631,S-173
SR,3.432647059,467,2,13.989,-15.17631,SR_11
